timeStamp,departureDay,distance
09:28:00,4,15
09:28:00,4,8
09:28:00,4,5
09:28:00,4,4
09:28:00,4,2
09:28:00,4,6
09:28:00,4,15
09:28:00,4,61
09:28:00,4,153
09:28:00,4,162
09:28:00,4,180
09:28:00,4,210
10:02:00,4,1091
10:02:00,4,1096
10:03:00,4,1096
10:03:00,4,1117
10:03:00,4,1123
10:03:00,4,1122
10:03:00,4,1104
10:03:00,4,1103
10:04:00,4,1103
10:04:00,4,1091
10:04:00,4,1091
10:04:00,4,1071
10:05:00,4,1071
10:05:00,4,1071
10:06:00,4,1071
10:06:00,4,726
10:06:00,4,687
10:06:00,4,687
10:06:00,4,582
10:07:00,4,582
10:07:00,4,548
10:07:00,4,531
10:07:00,4,520
10:07:00,4,490
10:07:00,4,480
10:08:00,4,480
10:08:00,4,380
10:09:00,4,380
10:09:00,4,361
10:09:00,4,317
10:09:00,4,302
10:10:00,4,302
10:10:00,4,299
10:10:00,4,296
10:10:00,4,278
10:10:00,4,274
10:10:00,4,262
10:11:00,4,262
10:11:00,4,256
10:11:00,4,252
10:11:00,4,248
10:12:00,4,248
10:12:00,4,177
10:12:00,4,169
10:12:00,4,124
10:12:00,4,108
10:13:00,4,108
10:13:00,4,74
10:13:00,4,49
10:13:00,4,29
10:13:00,4,13
10:13:00,4,28
10:13:00,4,33
10:13:00,4,102
10:14:00,4,177
10:14:00,4,233
10:26:00,4,1101
10:27:00,4,1101
10:28:00,4,1101
10:29:00,4,1101
10:30:00,4,1101
10:31:00,4,1101
10:31:00,4,1092
10:31:00,4,1092
10:31:00,4,1094
10:31:00,4,1114
10:32:00,4,1114
10:32:00,4,1123
10:32:00,4,1102
10:32:00,4,1092
10:32:00,4,1090
10:33:00,4,1090
10:33:00,4,1080
10:33:00,4,1074
10:33:00,4,1066
10:33:00,4,1059
10:34:00,4,1059
10:34:00,4,1045
10:34:00,4,1042
10:34:00,4,1042
10:34:00,4,1005
10:34:00,4,999
10:35:00,4,999
10:35:00,4,981
10:35:00,4,940
10:35:00,4,908
10:35:00,4,904
10:35:00,4,887
10:35:00,4,869
10:35:00,4,845
10:36:00,4,845
10:36:00,4,832
10:36:00,4,811
10:36:00,4,802
10:36:00,4,780
10:36:00,4,731
10:36:00,4,698
10:36:00,4,669
10:36:00,4,595
10:37:00,4,595
10:37:00,4,582
10:37:00,4,582
10:37:00,4,573
10:37:00,4,521
10:38:00,4,521
10:38:00,4,492
10:38:00,4,488
10:38:00,4,390
10:39:00,4,390
10:39:00,4,316
10:39:00,4,288
10:39:00,4,267
10:39:00,4,265
10:40:00,4,265
10:40:00,4,264
10:40:00,4,208
10:40:00,4,185
10:40:00,4,168
10:41:00,4,168
10:41:00,4,118
10:41:00,4,108
10:41:00,4,85
10:41:00,4,45
10:41:00,4,19
10:42:00,4,19
10:42:00,4,121
10:42:00,4,222
10:57:00,4,1109
10:58:00,4,1109
10:59:00,4,1109
11:00:00,4,1109
11:01:00,4,1109
11:01:00,4,1092
11:01:00,4,1096
11:01:00,4,1113
11:01:00,4,1123
11:01:00,4,1102
11:01:00,4,1101
11:02:00,4,1101
11:02:00,4,1090
11:02:00,4,1080
11:02:00,4,1073
11:02:00,4,1072
11:02:00,4,1065
11:02:00,4,1062
11:03:00,4,1062
11:03:00,4,1060
11:03:00,4,1059
11:03:00,4,1043
11:03:00,4,1041
11:03:00,4,1016
11:03:00,4,1005
11:03:00,4,999
11:04:00,4,999
11:04:00,4,942
11:04:00,4,905
11:04:00,4,844
11:04:00,4,803
11:05:00,4,803
11:06:00,4,803
11:06:00,4,803
11:06:00,4,783
11:06:00,4,581
11:06:00,4,572
11:06:00,4,529
11:06:00,4,529
11:06:00,4,490
11:06:00,4,427
11:07:00,4,427
11:07:00,4,325
11:07:00,4,316
11:07:00,4,256
11:08:00,4,256
11:08:00,4,250
11:08:00,4,223
11:09:00,4,223
11:09:00,4,168
11:09:00,4,129
11:09:00,4,122
11:09:00,4,111
11:10:00,4,111
11:10:00,4,111
11:10:00,4,107
11:11:00,4,107
11:11:00,4,105
11:11:00,4,49
11:11:00,4,21
11:11:00,4,12
11:11:00,4,82
11:11:00,4,94
11:12:00,4,94
11:12:00,4,187
11:56:00,4,1111
11:57:00,4,1111
11:58:00,4,1111
11:59:00,4,1111
12:00:00,4,1111
12:01:00,4,1111
12:02:00,4,1111
12:03:00,4,1111
12:04:00,4,1111
12:04:00,4,1093
12:05:00,4,1093
12:05:00,4,1116
12:05:00,4,1124
12:05:00,4,1120
12:05:00,4,1120
12:06:00,4,1102
12:06:00,4,1100
12:06:00,4,1094
12:06:00,4,1090
12:06:00,4,1089
12:06:00,4,1078
12:06:00,4,1073
12:06:00,4,1066
12:06:00,4,1060
12:06:00,4,1042
12:07:00,4,1042
12:07:00,4,1035
12:07:00,4,1021
12:07:00,4,996
12:08:00,4,996
12:08:00,4,946
12:08:00,4,945
12:08:00,4,891
12:09:00,4,891
12:09:00,4,845
12:09:00,4,796
12:10:00,4,796
12:10:00,4,789
12:10:00,4,685
12:11:00,4,685
12:11:00,4,584
12:11:00,4,582
12:11:00,4,567
12:11:00,4,521
12:12:00,4,521
12:12:00,4,480
12:13:00,4,480
12:13:00,4,377
12:13:00,4,319
12:13:00,4,311
12:13:00,4,273
12:13:00,4,251
12:13:00,4,166
12:14:00,4,166
12:14:00,4,99
12:14:00,4,70
12:14:00,4,49
12:14:00,4,3
12:14:00,4,0
12:15:00,4,0
12:15:00,4,32
12:16:00,4,32
12:16:00,4,134
12:16:00,4,238
12:56:00,4,1119
12:57:00,4,1119
12:58:00,4,1119
12:59:00,4,1119
13:00:00,4,1119
13:01:00,4,1119
13:01:00,4,1092
13:01:00,4,1088
13:01:00,4,1092
13:01:00,4,1096
13:02:00,4,1096
13:02:00,4,1114
13:02:00,4,1121
13:03:00,4,1121
13:03:00,4,1104
13:03:00,4,1100
13:03:00,4,1090
13:03:00,4,1089
13:04:00,4,1089
13:05:00,4,1089
13:05:00,4,1089
13:05:00,4,1078
13:05:00,4,1078
13:06:00,4,1078
13:06:00,4,1077
13:06:00,4,1061
13:06:00,4,1043
13:06:00,4,1018
13:06:00,4,999
13:06:00,4,955
13:06:00,4,954
13:07:00,4,954
13:07:00,4,925
13:07:00,4,846
13:07:00,4,821
13:07:00,4,785
13:07:00,4,718
13:08:00,4,718
13:08:00,4,665
13:08:00,4,638
13:08:00,4,616
13:08:00,4,581
13:08:00,4,568
13:08:00,4,546
13:08:00,4,533
13:08:00,4,531
13:09:00,4,531
13:09:00,4,530
13:09:00,4,516
13:10:00,4,516
13:10:00,4,490
13:11:00,4,490
13:11:00,4,446
13:11:00,4,413
13:11:00,4,312
13:12:00,4,312
13:12:00,4,292
13:12:00,4,267
13:12:00,4,267
13:13:00,4,267
13:13:00,4,248
13:13:00,4,207
13:13:00,4,168
13:14:00,4,168
13:14:00,4,134
13:15:00,4,134
13:15:00,4,109
13:15:00,4,108
13:15:00,4,101
13:15:00,4,60
13:15:00,4,46
13:15:00,4,33
13:15:00,4,12
13:15:00,4,5
13:15:00,4,5
13:16:00,4,5
13:16:00,4,1
13:16:00,4,46
13:17:00,4,46
13:17:00,4,97
13:17:00,4,103
13:17:00,4,110
13:17:00,4,206
14:01:00,4,1097
14:01:00,4,1097
14:02:00,4,1097
14:02:00,4,1120
14:02:00,4,1106
14:02:00,4,1104
14:02:00,4,1103
14:02:00,4,1097
14:02:00,4,1095
14:02:00,4,1093
14:02:00,4,1092
14:02:00,4,1090
14:03:00,4,1090
14:03:00,4,1086
14:03:00,4,1084
14:03:00,4,1083
14:03:00,4,1083
14:03:00,4,1076
14:03:00,4,1068
14:03:00,4,1064
14:03:00,4,1060
14:04:00,4,1060
14:04:00,4,1054
14:04:00,4,1046
14:05:00,4,1046
14:05:00,4,1039
14:05:00,4,1038
14:05:00,4,999
14:05:00,4,997
14:05:00,4,954
14:06:00,4,954
14:06:00,4,948
14:06:00,4,895
14:06:00,4,881
14:06:00,4,869
14:07:00,4,869
14:07:00,4,844
14:07:00,4,796
14:07:00,4,793
14:07:00,4,793
14:08:00,4,793
14:08:00,4,762
14:09:00,4,762
14:09:00,4,745
14:09:00,4,691
14:09:00,4,662
14:09:00,4,590
14:10:00,4,580
14:10:00,4,537
14:11:00,4,537
14:11:00,4,520
14:11:00,4,488
14:11:00,4,385
14:11:00,4,379
14:12:00,4,379
14:12:00,4,351
14:12:00,4,332
14:12:00,4,314
14:12:00,4,290
14:12:00,4,282
14:12:00,4,263
14:13:00,4,263
14:13:00,4,253
14:14:00,4,253
14:14:00,4,179
14:14:00,4,169
14:14:00,4,117
14:14:00,4,115
14:15:00,4,115
14:15:00,4,91
14:15:00,4,73
14:15:00,4,49
14:15:00,4,11
14:15:00,4,28
14:16:00,4,28
14:16:00,4,131
14:16:00,4,147
14:16:00,4,181
14:16:00,4,209
14:16:00,4,234
15:01:00,4,1097
15:01:00,4,1102
15:01:00,4,1115
15:01:00,4,1124
15:01:00,4,1120
15:01:00,4,1120
15:02:00,4,1114
15:02:00,4,1113
15:02:00,4,1106
15:02:00,4,1097
15:02:00,4,1092
15:02:00,4,1086
15:02:00,4,1082
15:02:00,4,1080
15:03:00,4,1080
15:03:00,4,1080
15:03:00,4,1063
15:03:00,4,1056
15:03:00,4,1046
15:04:00,4,1046
15:04:00,4,1042
15:04:00,4,1021
15:04:00,4,999
15:05:00,4,999
15:05:00,4,962
15:05:00,4,941
15:05:00,4,931
15:05:00,4,845
15:05:00,4,828
15:06:00,4,828
15:06:00,4,807
15:06:00,4,785
15:07:00,4,785
15:07:00,4,727
15:07:00,4,625
15:07:00,4,580
15:07:00,4,573
15:08:00,4,573
15:08:00,4,532
15:08:00,4,529
15:08:00,4,527
15:08:00,4,524
15:08:00,4,489
15:09:00,4,489
15:09:00,4,420
15:09:00,4,389
15:09:00,4,383
15:09:00,4,377
15:10:00,4,377
15:10:00,4,316
15:10:00,4,255
15:10:00,4,251
15:11:00,4,251
15:11:00,4,243
15:11:00,4,214
15:11:00,4,168
15:11:00,4,130
15:12:00,4,130
15:12:00,4,111
15:12:00,4,107
15:12:00,4,49
15:12:00,4,8
15:12:00,4,13
15:12:00,4,48
15:13:00,4,48
15:13:00,4,92
15:13:00,4,94
15:13:00,4,120
15:13:00,4,142
15:13:00,4,195
15:56:00,4,1116
15:57:00,4,1116
15:58:00,4,1116
15:59:00,4,1116
16:00:00,4,1116
16:01:00,4,1116
16:01:00,4,1116
16:01:00,4,1090
16:02:00,4,1090
16:02:00,4,1090
16:02:00,4,1092
16:02:00,4,1116
16:02:00,4,1124
16:03:00,4,1124
16:04:00,4,1124
16:05:00,4,1124
16:06:00,4,1124
16:06:00,4,1122
16:06:00,4,1093
16:07:00,4,1093
16:08:00,4,1093
16:09:00,4,1093
16:09:00,4,1044
16:09:00,4,1040
16:10:00,4,1040
16:10:00,4,1032
16:10:00,4,889
16:10:00,4,889
16:10:00,4,846
16:11:00,4,846
16:11:00,4,802
16:11:00,4,784
16:12:00,4,784
16:12:00,4,686
16:13:00,4,686
16:13:00,4,580
16:13:00,4,569
16:13:00,4,544
16:13:00,4,544
16:13:00,4,530
16:14:00,4,530
16:14:00,4,489
16:14:00,4,478
16:15:00,4,478
16:15:00,4,419
16:15:00,4,373
16:15:00,4,330
16:15:00,4,314
16:15:00,4,280
16:15:00,4,272
16:15:00,4,269
16:15:00,4,265
16:16:00,4,265
16:17:00,4,265
16:17:00,4,244
16:18:00,4,244
16:18:00,4,170
16:18:00,4,117
16:18:00,4,68
16:19:00,4,43
16:19:00,4,10
16:19:00,4,34
16:19:00,4,135
16:20:00,4,135
16:20:00,4,191
16:20:00,4,199
16:20:00,4,235
16:56:00,4,1112
16:57:00,4,1112
16:58:00,4,1112
16:59:00,4,1112
17:00:00,4,1112
17:01:00,4,1112
17:01:00,4,1090
17:01:00,4,1092
17:01:00,4,1107
17:01:00,4,1109
17:01:00,4,1111
17:02:00,4,1111
17:02:00,4,1122
17:02:00,4,1121
17:02:00,4,1119
17:03:00,4,1119
17:03:00,4,1102
17:03:00,4,1101
17:03:00,4,1092
17:03:00,4,1089
17:03:00,4,1087
17:03:00,4,1081
17:04:00,4,1081
17:04:00,4,1077
17:04:00,4,1079
17:04:00,4,1065
17:04:00,4,1058
17:05:00,4,1058
17:05:00,4,1045
17:05:00,4,1043
17:05:00,4,1031
17:06:00,4,1027
17:06:00,4,997
17:06:00,4,988
17:06:00,4,947
17:06:00,4,947
17:07:00,4,947
17:07:00,4,898
17:07:00,4,886
17:08:00,4,886
17:08:00,4,845
17:08:00,4,813
17:08:00,4,785
17:09:00,4,785
17:09:00,4,683
17:10:00,4,683
17:10:00,4,581
17:10:00,4,571
17:10:00,4,544
17:10:00,4,521
17:11:00,4,521
17:11:00,4,488
17:11:00,4,478
17:11:00,4,375
17:12:00,4,375
17:12:00,4,317
17:12:00,4,273
17:12:00,4,266
17:12:00,4,266
17:13:00,4,266
17:13:00,4,261
17:14:00,4,261
17:14:00,4,171
17:14:00,4,170
17:14:00,4,131
17:15:00,4,131
17:15:00,4,109
17:15:00,4,70
17:15:00,4,48
17:16:00,4,48
17:16:00,4,10
17:16:00,4,11
17:16:00,4,29
17:17:00,4,29
17:17:00,4,39
17:18:00,4,133
17:56:00,4,1107
17:57:00,4,1107
17:58:00,4,1107
17:59:00,4,1107
18:00:00,4,1107
18:01:00,4,1107
18:01:00,4,1094
18:01:00,4,1092
18:01:00,4,1091
18:01:00,4,1115
18:01:00,4,1124
18:02:00,4,1124
18:02:00,4,1104
18:02:00,4,1103
18:02:00,4,1101
18:02:00,4,1095
18:02:00,4,1090
18:02:00,4,1080
18:03:00,4,1080
18:03:00,4,1077
18:03:00,4,1076
18:03:00,4,1066
18:03:00,4,1059
18:03:00,4,1044
18:04:00,4,1044
18:04:00,4,1042
18:04:00,4,1036
18:05:00,4,1036
18:05:00,4,1000
18:05:00,4,995
18:05:00,4,961
18:05:00,4,952
18:05:00,4,952
18:05:00,4,930
18:06:00,4,930
18:06:00,4,914
18:06:00,4,893
18:06:00,4,885
18:06:00,4,845
18:06:00,4,817
18:06:00,4,803
18:06:00,4,800
18:07:00,4,800
18:07:00,4,791
18:08:00,4,791
18:08:00,4,689
18:08:00,4,660
18:09:00,4,660
18:09:00,4,595
18:09:00,4,585
18:09:00,4,580
18:09:00,4,569
18:09:00,4,537
18:09:00,4,537
18:10:00,4,537
18:10:00,4,484
18:11:00,4,484
18:11:00,4,382
18:11:00,4,364
18:11:00,4,315
18:11:00,4,280
18:11:00,4,266
18:11:00,4,266
18:12:00,4,266
18:12:00,4,239
18:13:00,4,239
18:13:00,4,179
18:13:00,4,169
18:13:00,4,150
18:14:00,4,150
18:14:00,4,116
18:14:00,4,106
18:15:00,4,106
18:15:00,4,78
18:15:00,4,48
18:15:00,4,10
18:15:00,4,23
18:16:00,4,23
18:16:00,4,125
18:16:00,4,228
18:56:00,4,1100
18:57:00,4,1100
18:58:00,4,1100
18:59:00,4,1100
19:00:00,4,1100
19:01:00,4,1100
19:01:00,4,1114
19:01:00,4,1119
19:01:00,4,1124
19:01:00,4,1119
19:01:00,4,1118
19:02:00,4,1118
19:02:00,4,1103
19:02:00,4,1095
19:02:00,4,1088
19:02:00,4,1067
19:03:00,4,1067
19:03:00,4,1037
19:04:00,4,1037
19:04:00,4,995
19:04:00,4,995
19:04:00,4,893
19:05:00,4,893
19:05:00,4,792
19:06:00,4,792
19:06:00,4,690
19:06:00,4,690
19:07:00,4,690
19:07:00,4,686
19:07:00,4,589
19:07:00,4,582
19:07:00,4,574
19:07:00,4,535
19:07:00,4,519
19:08:00,4,519
19:08:00,4,486
19:08:00,4,381
19:08:00,4,374
19:09:00,4,374
19:09:00,4,315
19:09:00,4,280
19:09:00,4,263
19:09:00,4,263
19:10:00,4,263
19:10:00,4,244
19:10:00,4,177
19:11:00,4,170
19:11:00,4,136
19:12:00,4,136
19:12:00,4,108
19:12:00,4,74
19:12:00,4,48
19:12:00,4,13
19:12:00,4,29
19:13:00,4,29
19:14:00,4,46
19:14:00,4,131
19:14:00,4,235
20:03:00,4,1017
20:03:00,4,1002
20:03:00,4,999
20:10:00,4,120
20:56:00,4,1121
20:57:00,4,1121
20:58:00,4,1121
20:59:00,4,1121
21:00:00,4,1121
21:01:00,4,1121
21:01:00,4,1091
21:01:00,4,1093
21:01:00,4,1115
21:01:00,4,1123
21:02:00,4,1123
21:02:00,4,1104
21:02:00,4,1103
21:02:00,4,1097
21:02:00,4,1090
21:02:00,4,1081
